loai_bds,tieu_de,gia,dien_tich,kich_thuoc,huong,so_tang,so_phong_ngu,so_wc,phap_ly,quan_huyen,dia_chi,nguon
"Biệt thự, nhà liền kề",🏡 BIỆT THỰ MẶT TIỀN CAO VĂN LẦU – QUY NHƠN NAM GẦN SIÊU THỊ GO QUY NHƠN 🏡,8 tỷ,133 m²,7x19m,Đông,3 tầng,6 PN,,,Thành phố Quy Nhơn,Đường Cao Văn Lầu,https://alonhadat.com.vn/-biet-thu-mat-tien-cao-van-lau-quy-nhon-nam-gan-sieu-thi-go-quy-nhon--18452273.html
Đất thổ cư/đất ở,"Bán lô đất thôn chánh oai, xã cát hải, huyện phù cát, tỉnh bình định.",890 triệu,120 m²,6x20m,Đông,,,,,Huyện Phù Cát,đường trước lô đất 2m. Cách bãi biển chánh oai 200m.  Giá bán chỉ 890 triệu. Hứa hẹn sẽ mang l......  << Xem chi tiết >>   2m                                           Giá: 890 triệu                                              Diện tích: 120 m² KT: 6x20mHướng: Đông Bắc,https://alonhadat.com.vn/ban-lo-dat-thon-chanh-oai-xa-cat-hai-huyen-phu-cat-tinh-binh-dinh--14089675.html
"Biệt thự, nhà liền kề",✨ BÁN 2 CĂN BIỆT THỰ 4 TẦNG KHU ĐẠI PHÚ GIA – ĐẲNG CẤP BẬC NHẤT QUY NHƠN ✨,"14,2 tỷ",216 m²,"10x21,6m",Tây,4 tầng,4 PN,,,Thành phố Quy Nhơn,đường rộng thoáng.......  << Xem chi tiết >>   28m4 tầng4 phòng ngủ                                           Giá: 14,https://alonhadat.com.vn/-ban-2-can-biet-thu-4-tang-khu-dai-phu-gia-dang-cap-bac-nhat-quy-nhon--18301395.html
Đất nền/liền kề/đất dự án,"🏘Bán đất dt 105m2 thôn khánh hòa,xã nhơn khánh, tx An Nhơn, Bình Định",880 triệu,105 m²,5x21m,Đông,,,,,Thị xã An Nhơn,,https://alonhadat.com.vn/-ban-dat-dt-105m2-khu-dan-cu-trung-tam-xa-nhon-khanh-phuong-binh-dinh-tinh-gia-lai-18085642.html
Căn hộ chung cư,BÁN NHANH CĂN HỘ 3PN PHÚ TÀI RESIDENCES GIÁ TỐT,"2,9 tỷ",86 m²,8x11m,Tây,18 tầng,3 PN,2 WC,,Thành phố Quy Nhơn,đường Lê Đức Thọ  - để lại full nội thất  - 3 phòng ngủ 2 toilet  - tầng cao view thoáng  - giá 2tỷ 900triệu * Tiện ích nội khu.......  << Xem chi tiết >>   20m18 tầng3 phòng ngủChỗ để xe                                           Giá: 2,https://alonhadat.com.vn/ban-nhanh-can-ho-3pn-phu-tai-residences-gia-tot-17227831.html
Đất thổ cư/đất ở,Bán lô Góc Tân Thanh - Cát Hải,"2,3 tỷ",192 m²,8x25m,,,,,,Huyện Phù Cát,Đường Tỉnh lộ 639,https://alonhadat.com.vn/ban-lo-goc-tan-thanh-cat-hai-16989697.html
Căn hộ chung cư,Kẹt vốn bán cắt lỗ Căn hộ Grand Center Quy Nhơn 2PN - 65m2 giá 2xxx Tỷ ..,"2,3 tỷ",65 m²,,,12 tầng,2 PN,2 WC,,Thành phố Quy Nhơn,Đường Nguyễn Tất Thành,https://alonhadat.com.vn/ket-von-ban-cat-lo-can-ho-grand-center-quy-nhon-2pn-65m2-gia-2xxx-ty--13076352.html
Đất nền/liền kề/đất dự án,"Bán đất khu quy hoạch dân cư thôn quảng vân, xã phước thuận, huyện tuy phước, bình định.","1,7 tỷ",95 m²,"5x18,9m",Đông,,,,,huyện tuy phước,,https://alonhadat.com.vn/ban-dat-khu-quy-hoach-dan-cu-thon-quang-van-xa-phuoc-thuan-huyen-tuy-phuoc-binh-dinh--14213592.html
Đất thổ cư/đất ở,"Bán đất khu Phương Thái, cát tiến, phù cát, bình định","1,78 tỷ",120 m²,6x20m,Bắc,,,,,Huyện Phù Cát,,https://alonhadat.com.vn/ban-dat-khu-phuong-thai-cat-tien-phu-cat-binh-dinh-13873634.html
"Biệt thự, nhà liền kề",Bán vài lô đất nhà Khu Võ Thị Yến Quy Nhơn cách biển 50m 2 mặt thông thoáng,45 tỷ,300 m²,8x38m,,2 tầng,3 PN,,,Thành phố Quy Nhơn,Đường Võ Thị Yến,https://alonhadat.com.vn/ban-vai-lo-dat-nha-khu-vo-thi-yen-quy-nhon-cach-bien-50m-2-mat-thong-thoang-18489721.html
Đất thổ cư/đất ở,🔥 CHÍNH CHỦ BÁN ĐẤT KHU HƯNG ĐỊNH MỚI – THỊ XÃ AN NHƠN 🔥,"2,3 tỷ",90 m²,5x18m,,,,,,Thị xã An Nhơn,Đường nhựa 1 chiều rộng 8 m mỗi bên,https://alonhadat.com.vn/-chinh-chu-ban-dat-khu-hung-dinh-moi-thi-xa-an-nhon--18638347.html
Đất nền/liền kề/đất dự án,Bán đất khu biệt thự Đại Phú Gia diện tích đa dạng.,39 triệu,351 m²,"15x23,4m",,,,,,Thành phố Quy Nhơn,Đường số 1,https://alonhadat.com.vn/dat-truc-duong-chinh-khu-tai-dinh-cu-nui-mo-coi-dt-63m2-ngang-huong-tay-bac-7434754.html
Đất thổ cư/đất ở,"BÁN NHÀ CẤP 4, Số 75 ĐƯỜNG HUỲNH TỊCH CỦA, P. Quy Nhơn Đông–DT: 95M2 GIÁ BÁN: 4TỶ",4 tỷ,95 m²,5x19m,bắc,1 tầng,1 PN,1 WC,Sổ hồng,Thành phố Quy Nhơn,ĐƯỜNG HUỲNH TỊCH CỦA,https://alonhadat.com.vn/ban-nha-duong-huynh-tich-cua-view-song-ha-thanh-dt-95m2-gia-ban-3ty890tr-18302155.html
Đất nền/liền kề/đất dự án,"🏕Bán đất dt 105m2 khu phố diêu trì,thị trấn diêu trì,tuy phước,Bình Định","1,79 tỷ",105 m²,5x21m,Đông,,,,,Huyện Tuy Phước,,https://alonhadat.com.vn/-ban-dat-dt-105m2-khu-pho-dieu-tri-thi-tran-dieu-tri-tuy-phuoc-binh-dinh-15760264.html
Nhà trong hẻm,"⛔BÁN NHÀ CÁCH ĐƯỜNG ÔTÔ 20M - HOÀNG VĂN THỤ -  67m2 - NGANG 5,13m - 1,5 TẦNG⛔2 Tỷ xxx","2,99 tỷ",67 m²,"5,13x13m",,5 tầng,2 PN,1 WC,,Thành phố Quy Nhơn,ĐƯỜNG ÔTÔ 20M - HOÀNG VĂN THỤ -  67m2 - NGANG 5,https://alonhadat.com.vn/-ban-nha-cach-duong-oto-20m-hoang-van-thu-67m2-ngang-5-13m-1-5-tang-2-ty-xxx-18284410.html
Đất nền/liền kề/đất dự án,"Chính thức mở bán dự án Central Avenue Cát Tiến, tuyến đường huyết mạnh kết nối sân bay","2,2 tỷ",100 m²,5x20m,Nam,,,,,Huyện Phù Cát,"đường huyết mạnh kết nối sân bay Hôm nay  CENTRAL AVENUE QUY NHON ""LÁ BÀI TẨY"" CỦA NHÀ ĐẦU TƯ CUỐI NĂM  🔑 Các điểm mạnh quan trọng nhất tác động đến thành công của việc đầu tư đều hội tụ đầy đủ tại Central Avenue Quy Nhon.  💎 VỊ TRÍ TÂM ĐIỂM: 👉 Nằm trên......  << Xem chi tiết >>   14m                                           Giá: 2",https://alonhadat.com.vn/chinh-thuc-mo-ban-du-an-central-avenue-cat-tien-tuyen-duong-huyet-manh-ket-noi-san-bay-12239072.html
Căn hộ chung cư,"Sang nhượng lại Căn Hộ CALLA giá thấp hơn CĐT 1,7 tỷ trả góp ( thấp hơn CĐT 300tr)","1,7 tỷ",62 m²,,,19 tầng,2 PN,2 WC,Sổ hồng,Thành phố Quy Nhơn,,https://alonhadat.com.vn/sang-nhuong-lai-can-ho-calla-gia-thap-hon-cdt-1-9x-ty-tra-gop-thap-hon-cdt-300tr--12266668.html
Nhà mặt tiền,🏢 BÁN NHÀ 3 MÊ – 2 MẶT TIỀN TRƯỚC SAU ĐƯỜNG NGUYỄN TẤT THÀNH,"14,3 tỷ",89 m²,"4,2x22m",,3 tầng,4 PN,,,Thành phố Quy Nhơn,ĐƯỜNG NGUYỄN TẤT THÀNH Hôm nay  🏢 BÁN NHÀ 3 MÊ – 2 MẶT TIỀN TRƯỚC SAU ĐƯỜNG NGUYỄN TẤT THÀNH  📍 Vị trí đắc địa thuộc phường Quy Nhơn,https://alonhadat.com.vn/-ban-nha-3-me-2-mat-tien-truoc-sau-duong-nguyen-tat-thanh-18291809.html
Căn hộ chung cư,"Calla Apartment Quy Nhơn, NGAY BIG C, BẾN XE QN - căn hộ sân vườn duy nhất tại tp biển QN","1,3 tỷ",60 m²,,,29 tầng,2 PN,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/calla-apartment-quy-nhon-can-ho-san-vuon-duy-nhat-tai-tp-bien-quy-nhon-chi-200-trieu-so-10765924.html
Căn hộ chung cư,"Bán căn hộ An Phú Thịnh Grand Tower 2PN - hướng ĐN. giá 1,230 tỷ (NH cho vay 900tr) - full","1,15 tỷ",62 m²,,,9 tầng,2 PN,,,Thành phố Quy Nhơn,Đường Võ Nguyên Giáp,https://alonhadat.com.vn/ban-can-ho-an-phu-thinh-grand-tower-2pn-huong-dn-moi-100-gia-1-ty-nh-cho-vay-700tr--13407408.html
Nhà trong hẻm,Bán nhà 3 mê mới khu Gềnh ráng cách biển 200m hẻm 3m La Văn Tiến. 53m2 giá 2tỷ5,"2,5 tỷ",53 m²,"3,6x15m",,3 tầng,3 PN,3 WC,,Thành phố Quy Nhơn,Đường La Văn Tiến,https://alonhadat.com.vn/ban-nha-3-me-moi-khu-genh-rang-cach-bien-200m-hem-3m-la-van-tien-53m2-gia-2ty550-18620961.html
Đất nền/liền kề/đất dự án,"🏡Bán đất dt 100m2 khu A2 ,khu đô thị mới long vân ,Phường trần Quang Diệu, TP Quy Nhơn, B","2,8 tỷ",100 m²,5x20m,Nam,,,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/-ban-dat-dt-100m2-khu-a2-khu-do-thi-moi-long-van-phuong-tran-quang-dieu-tp-quy-nhon-b-18585661.html
Nhà mặt tiền,Bán nhà mặt tiền đường Trần Quang Diệu 67m2 và 75m2,6 tỷ,67 m²,"3,55x18,9m",Đông,2 tầng,2 PN,,,Thành phố Quy Nhơn,đường Trần Quang Diệu 67m2 và 75m2 Hôm nay  Bán nhà mặt tiền đường Trần Quang Diệu 👉 Căn 1: Nhà 1 mê kiên cố ( cũ theo thời gian) Dt: 75m2 ngang 3,https://alonhadat.com.vn/ban-nha-4-tang-mat-tien-duong-nguyen-xuan-on-gan-thi-sach-44m2-16941537.html
Nhà trong hẻm,"Bán căn nhà hẻm cạn đường NGUYỄN THÁI HỌC,  phường Quy Nhơn, tỉnh Gia Lai. Giá chỉ 1,76 tỉ","1,76 tỷ",36 m²,4x12m,,02 tầng,2 PN,,,Thành phố Quy Nhơn,đường NGUYỄN THÁI HỌC,https://alonhadat.com.vn/ban-can-nha-hem-can-duong-nguyen-thai-hoc-phuong-quy-nhon-tinh-gia-lai-gia-chi-1-76-ti-17627539.html
Đất nền/liền kề/đất dự án,"Bán đất xã nhơn lý, thành phố quy nhơn, tỉnh bình định","1,3 tỷ",80 m²,4x20m,Tây,,,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-dat-xa-nhon-ly-thanh-pho-quy-nhon-tinh-binh-dinh-14286892.html
Nhà mặt tiền,"Bán nhà 3 tầng mặt tiền Bạch Đằng. Diện tích đất 42m2 ngang 4,2m nở hậu  giá 4tỷ 200 triệu","4,2 tỷ",42 m²,6x7m,,3 tầng,3 PN,,,Thành phố Quy Nhơn,đường Bạch Đằng vị trí gần chợ đầm gần trần hưng đạo,https://alonhadat.com.vn/ban-nha-3-tang-mat-tien-bach-dang-dien-tich-dat-42m2-ngang-4-2m-no-hau-gia-4ty-200-trieu-18287754.html
Căn hộ chung cư,"Bán lỗ sâu, căn hộ Phú Tài, 2PN giá cực tốt","1,78 tỷ",72 m²,,,1 tầng,2 PN,2 WC,,Thành phố Quy Nhơn,Đường Lê Đức Thọ,https://alonhadat.com.vn/ban-lo-sau-can-ho-phu-tai-2pn-gia-cuc-tot-13741499.html
